Date,Births,Hidden_State,State_Label
1/1/1959,35,2,Cao
1/2/1959,32,1,Trung bình
1/3/1959,30,0,Thấp
1/4/1959,31,1,Trung bình
1/5/1959,44,0,Thấp
1/6/1959,29,1,Trung bình
1/7/1959,45,0,Thấp
1/8/1959,43,1,Trung bình
1/9/1959,38,0,Thấp
1/10/1959,27,1,Trung bình
1/11/1959,38,0,Thấp
1/12/1959,33,1,Trung bình
1/13/1959,55,0,Thấp
1/14/1959,47,1,Trung bình
1/15/1959,45,0,Thấp
1/16/1959,37,1,Trung bình
1/17/1959,50,0,Thấp
1/18/1959,43,1,Trung bình
1/19/1959,41,0,Thấp
1/20/1959,52,1,Trung bình
1/21/1959,34,0,Thấp
1/22/1959,53,1,Trung bình
1/23/1959,39,0,Thấp
1/24/1959,32,1,Trung bình
1/25/1959,37,0,Thấp
1/26/1959,43,1,Trung bình
1/27/1959,39,0,Thấp
1/28/1959,35,1,Trung bình
1/29/1959,44,0,Thấp
1/30/1959,38,1,Trung bình
1/31/1959,24,0,Thấp
2/1/1959,23,1,Trung bình
2/2/1959,31,0,Thấp
2/3/1959,44,1,Trung bình
2/4/1959,38,0,Thấp
2/5/1959,50,1,Trung bình
2/6/1959,38,0,Thấp
2/7/1959,51,1,Trung bình
2/8/1959,31,0,Thấp
2/9/1959,31,1,Trung bình
2/10/1959,51,0,Thấp
2/11/1959,36,1,Trung bình
2/12/1959,45,0,Thấp
2/13/1959,51,1,Trung bình
2/14/1959,34,0,Thấp
2/15/1959,52,1,Trung bình
2/16/1959,47,0,Thấp
2/17/1959,45,1,Trung bình
2/18/1959,46,0,Thấp
2/19/1959,39,1,Trung bình
2/20/1959,48,0,Thấp
2/21/1959,37,1,Trung bình
2/22/1959,35,0,Thấp
2/23/1959,52,1,Trung bình
2/24/1959,42,0,Thấp
2/25/1959,45,1,Trung bình
2/26/1959,39,0,Thấp
2/27/1959,37,1,Trung bình
2/28/1959,30,0,Thấp
3/1/1959,35,1,Trung bình
3/2/1959,28,0,Thấp
3/3/1959,45,1,Trung bình
3/4/1959,34,0,Thấp
3/5/1959,36,1,Trung bình
3/6/1959,50,0,Thấp
3/7/1959,44,1,Trung bình
3/8/1959,39,0,Thấp
3/9/1959,32,1,Trung bình
3/10/1959,39,0,Thấp
3/11/1959,45,1,Trung bình
3/12/1959,43,0,Thấp
3/13/1959,39,1,Trung bình
3/14/1959,31,0,Thấp
3/15/1959,27,1,Trung bình
3/16/1959,30,0,Thấp
3/17/1959,42,1,Trung bình
3/18/1959,46,0,Thấp
3/19/1959,41,1,Trung bình
3/20/1959,36,0,Thấp
3/21/1959,45,1,Trung bình
3/22/1959,46,0,Thấp
3/23/1959,43,1,Trung bình
3/24/1959,38,0,Thấp
3/25/1959,34,1,Trung bình
3/26/1959,35,0,Thấp
3/27/1959,56,1,Trung bình
3/28/1959,36,0,Thấp
3/29/1959,32,1,Trung bình
3/30/1959,50,0,Thấp
3/31/1959,41,1,Trung bình
4/1/1959,39,0,Thấp
4/2/1959,41,1,Trung bình
4/3/1959,47,0,Thấp
4/4/1959,34,1,Trung bình
4/5/1959,36,0,Thấp
4/6/1959,33,1,Trung bình
4/7/1959,35,0,Thấp
4/8/1959,38,1,Trung bình
4/9/1959,38,0,Thấp
4/10/1959,34,1,Trung bình
4/11/1959,53,0,Thấp
4/12/1959,34,1,Trung bình
4/13/1959,34,0,Thấp
4/14/1959,38,1,Trung bình
4/15/1959,35,0,Thấp
4/16/1959,32,1,Trung bình
4/17/1959,42,0,Thấp
4/18/1959,34,1,Trung bình
4/19/1959,46,0,Thấp
4/20/1959,30,1,Trung bình
4/21/1959,46,0,Thấp
4/22/1959,45,1,Trung bình
4/23/1959,54,0,Thấp
4/24/1959,34,1,Trung bình
4/25/1959,37,0,Thấp
4/26/1959,35,1,Trung bình
4/27/1959,40,0,Thấp
4/28/1959,42,1,Trung bình
4/29/1959,58,0,Thấp
4/30/1959,51,1,Trung bình
5/1/1959,32,0,Thấp
5/2/1959,35,1,Trung bình
5/3/1959,38,0,Thấp
5/4/1959,33,1,Trung bình
5/5/1959,39,0,Thấp
5/6/1959,47,1,Trung bình
5/7/1959,38,0,Thấp
5/8/1959,52,1,Trung bình
5/9/1959,30,0,Thấp
5/10/1959,34,1,Trung bình
5/11/1959,40,0,Thấp
5/12/1959,35,1,Trung bình
5/13/1959,42,0,Thấp
5/14/1959,41,1,Trung bình
5/15/1959,42,0,Thấp
5/16/1959,38,1,Trung bình
5/17/1959,24,0,Thấp
5/18/1959,34,1,Trung bình
5/19/1959,43,0,Thấp
5/20/1959,36,1,Trung bình
5/21/1959,55,0,Thấp
5/22/1959,41,1,Trung bình
5/23/1959,45,0,Thấp
5/24/1959,41,1,Trung bình
5/25/1959,37,0,Thấp
5/26/1959,43,1,Trung bình
5/27/1959,39,0,Thấp
5/28/1959,33,1,Trung bình
5/29/1959,43,0,Thấp
5/30/1959,40,1,Trung bình
5/31/1959,38,0,Thấp
6/1/1959,45,1,Trung bình
6/2/1959,46,0,Thấp
6/3/1959,34,1,Trung bình
6/4/1959,35,0,Thấp
6/5/1959,48,1,Trung bình
6/6/1959,51,0,Thấp
6/7/1959,36,1,Trung bình
6/8/1959,33,0,Thấp
6/9/1959,46,1,Trung bình
6/10/1959,42,0,Thấp
6/11/1959,48,1,Trung bình
6/12/1959,34,0,Thấp
6/13/1959,41,1,Trung bình
6/14/1959,35,0,Thấp
6/15/1959,40,1,Trung bình
6/16/1959,34,0,Thấp
6/17/1959,30,1,Trung bình
6/18/1959,36,0,Thấp
6/19/1959,40,1,Trung bình
6/20/1959,39,0,Thấp
6/21/1959,45,1,Trung bình
6/22/1959,38,0,Thấp
6/23/1959,47,1,Trung bình
6/24/1959,33,0,Thấp
6/25/1959,30,1,Trung bình
6/26/1959,42,0,Thấp
6/27/1959,43,1,Trung bình
6/28/1959,41,0,Thấp
6/29/1959,41,1,Trung bình
6/30/1959,59,0,Thấp
7/1/1959,43,1,Trung bình
7/2/1959,45,0,Thấp
7/3/1959,38,1,Trung bình
7/4/1959,37,0,Thấp
7/5/1959,45,1,Trung bình
7/6/1959,42,0,Thấp
7/7/1959,57,1,Trung bình
7/8/1959,46,0,Thấp
7/9/1959,51,1,Trung bình
7/10/1959,41,0,Thấp
7/11/1959,47,1,Trung bình
7/12/1959,26,0,Thấp
7/13/1959,35,1,Trung bình
7/14/1959,44,0,Thấp
7/15/1959,41,1,Trung bình
7/16/1959,42,0,Thấp
7/17/1959,36,1,Trung bình
7/18/1959,45,0,Thấp
7/19/1959,45,1,Trung bình
7/20/1959,45,0,Thấp
7/21/1959,47,1,Trung bình
7/22/1959,38,0,Thấp
7/23/1959,42,1,Trung bình
7/24/1959,35,0,Thấp
7/25/1959,36,1,Trung bình
7/26/1959,39,0,Thấp
7/27/1959,45,1,Trung bình
7/28/1959,43,0,Thấp
7/29/1959,47,1,Trung bình
7/30/1959,36,0,Thấp
7/31/1959,41,1,Trung bình
8/1/1959,50,0,Thấp
8/2/1959,39,1,Trung bình
8/3/1959,41,0,Thấp
8/4/1959,46,1,Trung bình
8/5/1959,64,0,Thấp
8/6/1959,45,1,Trung bình
8/7/1959,34,0,Thấp
8/8/1959,38,1,Trung bình
8/9/1959,44,0,Thấp
8/10/1959,48,1,Trung bình
8/11/1959,46,0,Thấp
8/12/1959,44,1,Trung bình
8/13/1959,37,0,Thấp
8/14/1959,39,1,Trung bình
8/15/1959,44,0,Thấp
8/16/1959,45,1,Trung bình
8/17/1959,33,0,Thấp
8/18/1959,44,1,Trung bình
8/19/1959,38,0,Thấp
8/20/1959,46,1,Trung bình
8/21/1959,46,0,Thấp
8/22/1959,40,1,Trung bình
8/23/1959,39,0,Thấp
8/24/1959,44,1,Trung bình
8/25/1959,48,0,Thấp
8/26/1959,50,1,Trung bình
8/27/1959,41,0,Thấp
8/28/1959,42,1,Trung bình
8/29/1959,51,0,Thấp
8/30/1959,41,1,Trung bình
8/31/1959,44,0,Thấp
9/1/1959,38,1,Trung bình
9/2/1959,68,0,Thấp
9/3/1959,40,1,Trung bình
9/4/1959,42,0,Thấp
9/5/1959,51,1,Trung bình
9/6/1959,44,0,Thấp
9/7/1959,45,1,Trung bình
9/8/1959,36,0,Thấp
9/9/1959,57,1,Trung bình
9/10/1959,44,0,Thấp
9/11/1959,42,1,Trung bình
9/12/1959,53,0,Thấp
9/13/1959,42,1,Trung bình
9/14/1959,34,0,Thấp
9/15/1959,40,1,Trung bình
9/16/1959,56,0,Thấp
9/17/1959,44,1,Trung bình
9/18/1959,53,0,Thấp
9/19/1959,55,1,Trung bình
9/20/1959,39,0,Thấp
9/21/1959,59,1,Trung bình
9/22/1959,55,0,Thấp
9/23/1959,73,1,Trung bình
9/24/1959,55,0,Thấp
9/25/1959,44,1,Trung bình
9/26/1959,43,0,Thấp
9/27/1959,40,1,Trung bình
9/28/1959,47,0,Thấp
9/29/1959,51,1,Trung bình
9/30/1959,56,0,Thấp
10/1/1959,49,1,Trung bình
10/2/1959,54,0,Thấp
10/3/1959,56,1,Trung bình
10/4/1959,47,0,Thấp
10/5/1959,44,1,Trung bình
10/6/1959,43,0,Thấp
10/7/1959,42,1,Trung bình
10/8/1959,45,0,Thấp
10/9/1959,50,1,Trung bình
10/10/1959,48,0,Thấp
10/11/1959,43,1,Trung bình
10/12/1959,40,0,Thấp
10/13/1959,59,1,Trung bình
10/14/1959,41,0,Thấp
10/15/1959,42,1,Trung bình
10/16/1959,51,0,Thấp
10/17/1959,49,1,Trung bình
10/18/1959,45,0,Thấp
10/19/1959,43,1,Trung bình
10/20/1959,42,0,Thấp
10/21/1959,38,1,Trung bình
10/22/1959,47,0,Thấp
10/23/1959,38,1,Trung bình
10/24/1959,36,0,Thấp
10/25/1959,42,1,Trung bình
10/26/1959,35,0,Thấp
10/27/1959,28,1,Trung bình
10/28/1959,44,0,Thấp
10/29/1959,36,1,Trung bình
10/30/1959,45,0,Thấp
10/31/1959,46,1,Trung bình
11/1/1959,48,0,Thấp
11/2/1959,49,1,Trung bình
11/3/1959,43,0,Thấp
11/4/1959,42,1,Trung bình
11/5/1959,59,0,Thấp
11/6/1959,45,1,Trung bình
11/7/1959,52,0,Thấp
11/8/1959,46,1,Trung bình
11/9/1959,42,0,Thấp
11/10/1959,40,1,Trung bình
11/11/1959,40,0,Thấp
11/12/1959,45,1,Trung bình
11/13/1959,35,0,Thấp
11/14/1959,35,1,Trung bình
11/15/1959,40,0,Thấp
11/16/1959,39,1,Trung bình
11/17/1959,33,0,Thấp
11/18/1959,42,1,Trung bình
11/19/1959,47,0,Thấp
11/20/1959,51,1,Trung bình
11/21/1959,44,0,Thấp
11/22/1959,40,1,Trung bình
11/23/1959,57,0,Thấp
11/24/1959,49,1,Trung bình
11/25/1959,45,0,Thấp
11/26/1959,49,1,Trung bình
11/27/1959,51,0,Thấp
11/28/1959,46,1,Trung bình
11/29/1959,44,0,Thấp
11/30/1959,52,1,Trung bình
12/1/1959,45,0,Thấp
12/2/1959,32,1,Trung bình
12/3/1959,46,0,Thấp
12/4/1959,41,1,Trung bình
12/5/1959,34,0,Thấp
12/6/1959,33,1,Trung bình
12/7/1959,36,0,Thấp
12/8/1959,49,1,Trung bình
12/9/1959,43,0,Thấp
12/10/1959,43,1,Trung bình
12/11/1959,34,0,Thấp
12/12/1959,39,1,Trung bình
12/13/1959,35,0,Thấp
12/14/1959,52,1,Trung bình
12/15/1959,47,0,Thấp
12/16/1959,52,1,Trung bình
12/17/1959,39,0,Thấp
12/18/1959,40,1,Trung bình
12/19/1959,42,0,Thấp
12/20/1959,42,1,Trung bình
12/21/1959,53,0,Thấp
12/22/1959,39,1,Trung bình
12/23/1959,40,0,Thấp
12/24/1959,38,1,Trung bình
12/25/1959,44,0,Thấp
12/26/1959,34,1,Trung bình
12/27/1959,37,0,Thấp
12/28/1959,52,1,Trung bình
12/29/1959,48,0,Thấp
12/30/1959,55,1,Trung bình
12/31/1959,50,0,Thấp
